PKEY,ID,BIKE_ID,FAC_NAME,LONGITUDE,LATITUDE
27864,54992,30200,9th St & Pennsylvania Ave NW,-77.023979,38.89428
27869,62850,30201,9th & G St NW,-77.023924,38.898097
28120,49564,31000,Eads St & 15th St S,-77.05323,38.858971
28124,6233,31001,18th & Eads St.,-77.05332,38.85725
28133,38510,31002,20th & Crystal Dr,-77.0492,38.8564
28138,11772,31003,15th & Crystal Dr,-77.049593,38.86017
28146,6236,31004,Aurora Hills Community Ctr/18th & Hayes St,-77.05949,38.857866
28157,6237,31005,Pentagon City Metro / 12th & S Hayes St,-77.059936,38.862303
28172,62856,31006,Pentagon Row Plaza / Army Navy Dr & Joyce St,-77.06341624,38.86331354
28174,18006,31007,Crystal City Metro / 18th & Bell St,-77.051141,38.857063
28183,11777,31008,12th & Army Navy Dr,-77.0528,38.8629
28187,18007,31009,27th & Crystal Dr,-77.051516,38.848441
28193,18008,31010,S Glebe & Potomac Ave,-77.0502,38.8426
28202,18009,31011,23rd & Crystal Dr,-77.0498,38.8533
28211,25189,31012,26th & S Clark St,-77.05152,38.850688
28228,62862,31013,Eads St & 22nd St S,-77.0534116,38.85438052
28229,11783,31014,Lynn & 19th St North,-77.070993,38.897315
28244,38522,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,-77.0723,38.8946
28247,18014,31016,Clarendon Blvd & Pierce St,-77.076701,38.893648
28259,18015,31017,Wilson Blvd & N Uhle St,-77.0846,38.891696
28265,25195,31018,N Rhodes & 16th St N,-77.079375,38.892164
28282,62868,31019,Wilson Blvd & N Edgewood St,-77.09186241,38.88939607
28283,18018,31020,Wilson Blvd & Franklin Rd,-77.0889,38.8904
28292,6253,31021,Clarendon Blvd & N Fillmore St,-77.09308,38.8881
28301,11791,31022,Clarendon Metro / Wilson Blvd & N Highland St,-77.094875,38.88786
28318,62872,31023,Fairfax Dr & Wilson Blvd,-77.097745,38.885801
28319,25201,31024,Virginia Square Metro / N Monroe St & 9th St N,-77.103148,38.882788
28336,62874,31025,Central Library / Quincy St & 10th St N,-77.10783,38.88397
28337,11795,31026,Washington Blvd & 10th St N,-77.093485,38.884734
28346,6259,31027,Key Blvd & N Quinn St,-77.078107,38.896015
28363,62877,31028,N Veitch St & Key Blvd,-77.086063,38.893237
28364,25206,31029,N Veitch  & 20th St N,-77.086502,38.896923
